geracao,fitness_melhor_individuo
1,106042.418365
2,11313.840089
3,11313.840089
4,11313.840089
5,11313.840089
6,11313.840089
7,11313.840089
8,11313.840089
9,7789.369871
10,7789.369871
11,7789.369871
12,7019.448775
13,7019.448775
14,6717.192007
15,6555.168995
16,6555.168995
17,6555.168995
18,6555.168995
19,6516.994843
20,6353.480963
21,6353.480963
22,6353.480963
23,6353.480963
24,6353.480963
25,6353.480963
26,6165.687192
27,6165.687192
28,6165.687192
29,6165.687192
30,6165.687192
31,6088.876709
32,6088.876709
33,6088.876709
34,6012.289735
35,6012.289735
36,6012.289735
37,6012.289735
38,6012.289735
39,6012.289735
40,6012.289735
41,6012.289735
42,6012.289735
43,6012.289735
44,6012.289735
45,6012.289735
46,6012.289735
47,6012.289735
48,6012.289735
49,6012.289735
50,6012.289735
51,6012.289735
52,6012.289735
53,6012.289735
54,6012.289735
55,6012.289735
56,6012.289735
57,6012.289735
58,6012.289735
59,6012.289735
60,6012.289735
61,6012.289735
62,6012.289735
63,6012.289735
64,6012.289735
65,6012.289735
66,6012.289735
67,6012.289735
68,6012.289735
69,6012.289735
70,6012.289735
71,6012.289735
72,6012.289735
73,6012.289735
74,6012.289735
75,6012.289735
76,6012.289735
77,6012.289735
78,6012.289735
79,6012.289735
80,6012.289735
81,6012.289735
82,6012.289735
83,6012.289735
84,6012.289735
85,6012.289735
86,6012.289735
87,6012.289735
88,6012.289735
89,6012.289735
90,6012.289735
91,6012.289735
92,6012.289735
93,6012.289735
94,6012.289735
95,6012.289735
96,6012.289735
97,6012.289735
98,6012.289735
99,6012.289735
100,6012.289735
101,6012.289735
102,6012.289735
103,5931.886700
104,5931.886700
105,5931.886700
106,5931.886700
107,5906.751069
108,5906.751069
109,5906.751069
110,5906.751069
111,5906.751069
112,5906.751069
113,5906.751069
114,5906.751069
115,5906.751069
116,5619.484327
117,5619.484327
118,5619.484327
119,5619.484327
120,5619.484327
121,5619.484327
122,5619.484327
123,5619.484327
124,5590.881608
125,5590.881608
126,5590.881608
127,5590.881608
128,5590.881608
129,5590.881608
130,5590.881608
131,5590.881608
132,5590.881608
133,5590.881608
134,5590.881608
135,5590.881608
136,5590.881608
137,5590.881608
138,5590.881608
139,5590.881608
140,5590.881608
141,5590.881608
142,5590.881608
143,5590.881608
144,5576.045877
145,5576.045877
146,5576.045877
147,5576.045877
148,5576.045877
149,5576.045877
150,5543.975569
151,5543.975569
152,5543.975569
153,5543.975569
154,5543.975569
155,5543.975569
156,5543.975569
157,5543.975569
158,5543.975569
159,5543.975569
160,5490.031981
161,5490.031981
162,5490.031981
163,5490.031981
164,5490.031981
165,5490.031981
